
Start of Korat Execution for Line (repOK, [10])

slope: 0.0, yintercept: 0.0, epsilon:0.0
slope: 0.0, yintercept: 1.0, epsilon:0.0
slope: 0.0, yintercept: 2.0, epsilon:0.0
slope: 0.0, yintercept: 3.0, epsilon:0.0
slope: 0.0, yintercept: 4.0, epsilon:0.0
slope: 0.0, yintercept: 5.0, epsilon:0.0
slope: 0.0, yintercept: 6.0, epsilon:0.0
slope: 0.0, yintercept: 7.0, epsilon:0.0
slope: 0.0, yintercept: 8.0, epsilon:0.0
slope: 0.0, yintercept: 9.0, epsilon:0.0
slope: 0.0, yintercept: 10.0, epsilon:0.0
slope: 1.0, yintercept: 0.0, epsilon:0.0
slope: 1.0, yintercept: 1.0, epsilon:0.0
slope: 1.0, yintercept: 2.0, epsilon:0.0
slope: 1.0, yintercept: 3.0, epsilon:0.0
slope: 1.0, yintercept: 4.0, epsilon:0.0
slope: 1.0, yintercept: 5.0, epsilon:0.0
slope: 1.0, yintercept: 6.0, epsilon:0.0
slope: 1.0, yintercept: 7.0, epsilon:0.0
slope: 1.0, yintercept: 8.0, epsilon:0.0
slope: 1.0, yintercept: 9.0, epsilon:0.0
slope: 1.0, yintercept: 10.0, epsilon:0.0
slope: 2.0, yintercept: 0.0, epsilon:0.0
slope: 2.0, yintercept: 1.0, epsilon:0.0
slope: 2.0, yintercept: 2.0, epsilon:0.0
slope: 2.0, yintercept: 3.0, epsilon:0.0
slope: 2.0, yintercept: 4.0, epsilon:0.0
slope: 2.0, yintercept: 5.0, epsilon:0.0
slope: 2.0, yintercept: 6.0, epsilon:0.0
slope: 2.0, yintercept: 7.0, epsilon:0.0
slope: 2.0, yintercept: 8.0, epsilon:0.0
slope: 2.0, yintercept: 9.0, epsilon:0.0
slope: 2.0, yintercept: 10.0, epsilon:0.0
slope: 3.0, yintercept: 0.0, epsilon:0.0
slope: 3.0, yintercept: 1.0, epsilon:0.0
slope: 3.0, yintercept: 2.0, epsilon:0.0
slope: 3.0, yintercept: 3.0, epsilon:0.0
slope: 3.0, yintercept: 4.0, epsilon:0.0
slope: 3.0, yintercept: 5.0, epsilon:0.0
slope: 3.0, yintercept: 6.0, epsilon:0.0
slope: 3.0, yintercept: 7.0, epsilon:0.0
slope: 3.0, yintercept: 8.0, epsilon:0.0
slope: 3.0, yintercept: 9.0, epsilon:0.0
slope: 3.0, yintercept: 10.0, epsilon:0.0
slope: 4.0, yintercept: 0.0, epsilon:0.0
slope: 4.0, yintercept: 1.0, epsilon:0.0
slope: 4.0, yintercept: 2.0, epsilon:0.0
slope: 4.0, yintercept: 3.0, epsilon:0.0
slope: 4.0, yintercept: 4.0, epsilon:0.0
slope: 4.0, yintercept: 5.0, epsilon:0.0
slope: 4.0, yintercept: 6.0, epsilon:0.0
slope: 4.0, yintercept: 7.0, epsilon:0.0
slope: 4.0, yintercept: 8.0, epsilon:0.0
slope: 4.0, yintercept: 9.0, epsilon:0.0
slope: 4.0, yintercept: 10.0, epsilon:0.0
slope: 5.0, yintercept: 0.0, epsilon:0.0
slope: 5.0, yintercept: 1.0, epsilon:0.0
slope: 5.0, yintercept: 2.0, epsilon:0.0
slope: 5.0, yintercept: 3.0, epsilon:0.0
slope: 5.0, yintercept: 4.0, epsilon:0.0
slope: 5.0, yintercept: 5.0, epsilon:0.0
slope: 5.0, yintercept: 6.0, epsilon:0.0
slope: 5.0, yintercept: 7.0, epsilon:0.0
slope: 5.0, yintercept: 8.0, epsilon:0.0
slope: 5.0, yintercept: 9.0, epsilon:0.0
slope: 5.0, yintercept: 10.0, epsilon:0.0
slope: 6.0, yintercept: 0.0, epsilon:0.0
slope: 6.0, yintercept: 1.0, epsilon:0.0
slope: 6.0, yintercept: 2.0, epsilon:0.0
slope: 6.0, yintercept: 3.0, epsilon:0.0
slope: 6.0, yintercept: 4.0, epsilon:0.0
slope: 6.0, yintercept: 5.0, epsilon:0.0
slope: 6.0, yintercept: 6.0, epsilon:0.0
slope: 6.0, yintercept: 7.0, epsilon:0.0
slope: 6.0, yintercept: 8.0, epsilon:0.0
slope: 6.0, yintercept: 9.0, epsilon:0.0
slope: 6.0, yintercept: 10.0, epsilon:0.0
slope: 7.0, yintercept: 0.0, epsilon:0.0
slope: 7.0, yintercept: 1.0, epsilon:0.0
slope: 7.0, yintercept: 2.0, epsilon:0.0
slope: 7.0, yintercept: 3.0, epsilon:0.0
slope: 7.0, yintercept: 4.0, epsilon:0.0
slope: 7.0, yintercept: 5.0, epsilon:0.0
slope: 7.0, yintercept: 6.0, epsilon:0.0
slope: 7.0, yintercept: 7.0, epsilon:0.0
slope: 7.0, yintercept: 8.0, epsilon:0.0
slope: 7.0, yintercept: 9.0, epsilon:0.0
slope: 7.0, yintercept: 10.0, epsilon:0.0
slope: 8.0, yintercept: 0.0, epsilon:0.0
slope: 8.0, yintercept: 1.0, epsilon:0.0
slope: 8.0, yintercept: 2.0, epsilon:0.0
